Video,Query ID,Language Query,Type,Track ID,Start Frame,End Frame,Revision
MOT17-10,1,A man walking past wooden yellow boxes,M,7,349,410,
MOT17-10,2,A man walks past wooden yellow boxes,M,7,349,410,
MOT17-10,3,A man trying to push wooden yellow box,M,12,211,254,
MOT17-10,3,A man trying to push wooden yellow box,M,12,476,528,
MOT17-10,4,A man trying to move wooden yellow box,M,12,211,254,
MOT17-10,4,A man trying to move wooden yellow box,M,12,476,528,
MOT17-10,5,A man walks around the yellow box as he inspects it,M,12,265,341,
MOT17-10,6,A man looks at the yellow box closely as he walks around it,M,12,265,341,
MOT17-10,7,A man walking away from one yellow box to another stops and looks back,M,12,379,394,
MOT17-10,8,A man stops walking and looks back at the yellow box behind,M,12,379,394,
MOT17-10,9,A man looks behind at the yellow box,M,12,379,394,
MOT17-10,10,A man in yellow shirt slows down in his tracks to talk with another person,M,4,164,250,
MOT17-10,11,A man in black shirt slows down in his tracks to talk with another person,M,13,169,250,
MOT17-10,12,A man in jeans stopping in his tracks to talk with other people,M,7,150,279,
MOT17-10,13,A man in blue jeans stops in front of a bench to talk with another person,M,7,150,279,
MOT17-10,14,A man stops walking to talk with another person,M,4,164,250,
MOT17-10,14,A man stops walking to talk with another person,M,13,169,250,
MOT17-10,14,A man stops walking to talk with another person,M,7,150,279,
MOT17-10,15,A man stopping to converse with other men while walking,M,4,164,250,
MOT17-10,15,A man stopping to converse with other men while walking,M,13,169,250,
MOT17-10,15,A man stopping to converse with other men while walking,M,7,150,279,
MOT17-10,16,A woman is taking out a key from her back pocket,M,9,116,345,
MOT17-10,17,A woman searching her back pocket for a key,M,9,116,345,
MOT17-10,18,A woman in shorts looking left and then right through a shop window,M,14,547,613,
MOT17-10,19,A woman turning her head left and then right as she walks,M,14,547,613,
MOT17-10,20,A woman in shorts looking right through a shop window,M,14,583,613,
MOT17-10,21,A woman looks right as she is walking,M,14,583,613,
MOT17-10,22,A woman turns her head to the right as she is walking,M,14,583,613,
MOT17-10,23,A woman glancing right as she is walking,M,14,583,613,
MOT17-10,24,A man stopping two other men in the middle of their tracks asking for directions,M,7,190,258,
MOT17-10,25,A woman getting inside the mall to the right,M,26,380,396,
MOT17-10,26,A woman not walking past the mall in the right side,M,26,380,396,
MOT17-10,27,Person walking past the mall in the right side,M,2,338,466,
MOT17-10,27,Person walking past the mall in the right side,M,4,315,486,
MOT17-10,27,Person walking past the mall in the right side,M,13,315,486,
MOT17-10,28,Person walking past not entering the mall in the right side,M,2,338,466,
MOT17-10,28,Person walking past not entering the mall in the right side,M,4,315,486,
MOT17-10,28,Person walking past not entering the mall in the right side,M,13,315,486,
MOT17-10,29,A man in black clothing glancing left as he walks with another person,M,10,212,250,
MOT17-10,30,A man in black clothing looks left as he talks to another person,M,10,212,250,
MOT17-10,31,A man in black looks at the person in the left as he talks to her,M,10,212,250,
MOT17-10,32,A man in black shirt glancing right at the store,M,24,166,220,
MOT17-10,33,A man in black shirt looks right at the store,M,24,166,220,
MOT17-10,34,A man looks in the direction of the camera from the right,M,24,221,231,
MOT17-10,35,A man turns his head in the direction he is walking,M,24,221,231,
MOT17-10,36,A man with a black backpack looking back takes a step back and looks left,M,18,390,433,
MOT17-10,37,A man with a backpack facing backwards turns his body and faces left,M,18,390,433,
MOT17-10,38,A man in black shirt puts his hand in his pocket,M,25,540,593,
MOT17-10,39,A man puts his hand down into his pocket,M,25,540,593,
MOT17-10,40,A woman initially facing right looks back,M,34,318,360,
MOT17-10,41,A woman with a cloth in her hand turns her head and looks back,M,34,318,360,
