Video,Query ID,Language Query,Type,IDs,Start,End,Revision
MOT20-01,1,Person walking in the open space is going to the left side,M,1,1,338,
MOT20-01,1,Person walking in the open space is going to the left side,M,2,1,351,
MOT20-01,1,Person walking in the open space is going to the left side,M,3,1,367,
MOT20-02,1,Person walking in the open space is going to the left side,M,9,1412,1738,
MOT20-02,1,Person walking in the open space is going to the left side,M,10,1371,1755,
MOT20-02,1,Person walking in the open space is going to the left side,M,82,1,2133,
MOT20-02,1,Person walking in the open space is going to the left side,M,176,1,2712,
MOT20-01,2,Person walking in an open area is heading in the direction to the left.,M,1,1,338,
MOT20-01,2,Person walking in an open area is heading in the direction to the left.,M,2,1,351,
MOT20-01,2,Person walking in an open area is heading in the direction to the left.,M,3,1,367,
MOT20-02,2,Person walking in an open area is heading in the direction to the left.,M,9,1412,1738,
MOT20-02,2,Person walking in an open area is heading in the direction to the left.,M,10,1371,1755,
MOT20-02,2,Person walking in an open area is heading in the direction to the left.,M,82,1,2133,
MOT20-02,2,Person walking in an open area is heading in the direction to the left.,M,176,1,2712,
MOT20-01,3,Person walking in the open area is moving towards the left.,M,1,1,338,
MOT20-01,3,Person walking in the open area is moving towards the left.,M,2,1,351,
MOT20-01,3,Person walking in the open area is moving towards the left.,M,3,1,367,
MOT20-02,3,Person walking in the open area is moving towards the left.,M,9,1412,1738,
MOT20-02,3,Person walking in the open area is moving towards the left.,M,10,1371,1755,
MOT20-02,3,Person walking in the open area is moving towards the left.,M,82,1,2133,
MOT20-02,3,Person walking in the open area is moving towards the left.,M,176,1,2712,
MOT20-01,4,Person in the open area is moving towards the left.,M,1,1,338,
MOT20-01,4,Person in the open area is moving towards the left.,M,2,1,351,
MOT20-01,4,Person in the open area is moving towards the left.,M,3,1,367,
MOT20-02,4,Person in the open area is moving towards the left.,M,9,1412,1738,
MOT20-02,4,Person in the open area is moving towards the left.,M,10,1371,1755,
MOT20-02,4,Person in the open area is moving towards the left.,M,82,1,2133,
