ID mark frame,Video,QID,Language Query,Type,IDs,Start,End,Revision
1,1a4b95d3,,Panda is going to climb a tree,M,1,17,23,
,1a4b95d3,,Panda is going to climb a tree,M,3,17,29,
,1a4b95d3,,Panda remains in the same position and refrains for going towards the tree,M,2,1,23,
,1aa4e7f6,,Dog is walking towards the opposite of the camera,M,1,23,35,
34,1aa4e7f6,,Dog remains in the same position and refrains from walking,M,2,1,35,
,1aa4e7f6,,Dog remains in the same position and refrains from walking,M,3,1,35,
,1b664206,,Horse is walking towards the left side,M,1,1,42,
,1b664206,,Horse is walking towards the left side,M,2,1,42,
,1b664206,,Horse is walking towards the left side,M,3,1,42,
6,1b664206,,Horse is walking towards the left side,M,4,35,42,
,1b664206,,Horse starts to walk towards the left side,M,5,40,42,
,1b664206,,Horse is circling around a person,M,6,1,18,
,1b664206,,Person is giving commands to the horse,O,7,1,16,Only one person
1,1ef6cb7b,,Bird is flying towards the right side,M,3,30,32,
1,1ef6cb7b,,Bird is flying towards the right side,M,1,54,57,
1,1ef6cb7b,,Bird is flying towards the right side,M,2,80,82,
43,1ef6cb7b,,Bird is flying towards the right side,M,4,47,49,
43,1ef6cb7b,,Bird refrains from flying,M,5,1,85,
60,1ef6cb7b,,Bird refrains from flying,M,6,1,85,
1,1f17cd7c,,Goat is going to the railing,M,1,1,15,
1,1f17cd7c,,Goat is going to the railing,M,2,1,11,
12,1f17cd7c,,Goat is walking towards the camera,M,5,1,10,
12,1f17cd7c,,Goat is walking towards the camera,M,6,1,16,
5,1f17cd7c,,Goat is walking towards the camera,M,7,1,16,
1,1f17cd7c,,Goat is walking towards the camera,M,4,1,17,
1,1f17cd7c,,Goat is looking towards left side,M,3,9,29,
16,1f17cd7c,,Goat is looking towards left side,M,8,7,35,
,9323c19c,,Bird is going inside of the food container from floor,M,1,22,25,
,9323c19c,,Bird is going inside of the food container from floor,M,3,16,32,
17,9323c19c,,Bird is going inside of the food container from floor,M,4,57,59,
,9323c19c,,Bird is going inside of the food container from floor,M,4,76,85,
,9323c19c,,Bird is disturbing other birds,M,5,3,10,
,9323c19c,,Bird is disturbing other birds,M,5,25,51,
,9323c19c,,Bird is disturbing other birds,M,5,79,87,
,9323c19c,,Bird is circling around the food container,M,2,1,87,
,7223bf62,,Bunny is sniffing on the bed sheet,M,1,18,24,
1,7223bf62,,Bunny is eating leaves,M,2,1,30,
1,6976cf19,,Person on bicycle is going towards the opposite of the camera,M,3,1,22,
1,6976cf19,,Person on bicycle is going towards the opposite of the camera,M,2,1,28,
1,6976cf19,,Person on bicycle is going towards the opposite of the camera,M,1,1,36,
9,6976cf19,,Bicycle is going towards the opposite of the camera,M,6,1,22,
9,6976cf19,,Bicycle is going towards the opposite of the camera,M,5,1,28,
9,6976cf19,,Bicycle is going towards the opposite of the camera,M,4,1,36,
13,5834b092,,Tiger is walking towards the left side,M,1,1,28,
13,5834b092,,Tiger is walking towards the left side,M,1,1,37,
83,5834b092,,Tiger is walking towards the left side,M,5,70,88,
13,5834b092,,Tiger is sniffing on the bus,M,4,9,58,
13,5834b092,,Tiger refrains from walking,M,2,1,88,
1,4027a35b,,Bunny is fighting with another bunny,M,1,1,28,
,4027a35b,,Bunny is fighting with another bunny,M,2,1,28,
5,3054dbaf,,Chicken is eating food from the floor,M,1,19,44,
5,3054dbaf,,Chicken is eating food from the floor,M,2,19,44,
30,3054dbaf,,Chicken is eating food from the floor,M,4,36,42,
30,3054dbaf,,Chicken on the wall is going towards left side,M,3,1,6,
30,3054dbaf,,Chicken on the wall is going towards left side,M,3,1,6,
30,3054dbaf,,Chicken is going from the floor to the top of the wall,M,6,39,42,
,1806a28d,,Airplane is moving faster than another airplane,M,1,1,108,
1,1806a28d,,Airplane is moving slower than another airplane,M,2,1,108,
,1220b722,,Person is getting on a bicycle,M,1,140,148,
1,1220b722,,Person is going towards left side with bicycle,M,2,78,115,
,1220b722,,Bicycle is moving towards left side,M,3,78,115,
,1123fd76,,Dog is fighting with another dog,M,1,1,71,
1,1123fd76,,Dog is fighting with another dog,M,2,1,71,
,957c33a7,,Bird pecked another bird,M,4,13,15,
,957c33a7,,Bird is going towards left side,M,1,2,7,
1,957c33a7,,Bird is falling down from plastic bottle,M,2,12,15,
,957c33a7,,Bird has been pecked by another bird,M,5,13,15,
,957c33a7,,Bird in the queue briefly comes the camera,M,3,37,42,
,768c5810,,Sheep is fighting with cow,M,1,1,60,
1,768c5810,,Cow is fighting with sheep,M,2,1,60,
,454c7bb5,,Person is going to right side to park her bike,M,1,1,36,
1,454c7bb5,,Bike is being taken to right side to park,M,2,1,36,
,454c7bb5,,Bike is stationary and parked,O,3,1,36,
,97f5bbc8,,Bear is fighting with another bear,M,1,1,18,
18,97f5bbc8,,Bear is fighting with another bear,M,2,1,18,
,97f5bbc8,,Bear entering into frame from right side is going towards left side,M,3,1,18,
14,0299d8d6,,Vehicle entering into frame from left side is going outside of the frame in right side,M,4,10,18,
14,0299d8d6,,Vehicle entering into frame from right side is going outside of the frame in left side,M,3,4,17,
32,0299d8d6,,Person entering into frame from right side is going outside of the frame in left side,M,6,25,34,
14,0299d8d6,,Vehicle entering into frame from right side is going towards left side,M,5,24,35,
32,0299d8d6,,Person entering into frame from right side is going towards left side,M,7,25,35,
14,0299d8d6,,Vehicle is stationary and parked along the road,O,1,1,35,
14,0299d8d6,,Vehicle is stationary and parked along the road,O,2,1,35,
32,0299d8d6,,Person is seated,O,8,1,35,
1,95a50b7d,,Airplane is landing,M,1,1,66,
1,95a50b7d,,Airplane is landing,M,2,1,54,
1,95a50b7d,,Airplane is stationary and remains in the same position,M,3,1,14,
21,95a50b7d,,Airplane is stationary and remains in the same position,M,4,18,32,
,90d7f538,,Tiger is fighting with another tiger,M,1,25,40,
1,90d7f538,,Tiger is fighting with another tiger,M,2,25,40,
,86b8e4ec,,Monkey is eating something from the ground,M,1,4,25,
1,86b8e4ec,,Monkey is going in front of another monkey,M,2,7,21,
1,75a8cadb,,Elephant is picking up the basket with its trunk and giving it to the person,M,1,7,16,
1,75a8cadb,,Elephant is picking up the basket with its trunk and giving it to the person,M,3,7,15,
1,75a8cadb,,Elephant is picking up the basket with its trunk and giving it to the person,M,5,12,19,
1,75a8cadb,,Person is receiving the basket from the elephant's trunk,M,4,15,18,
1,75a8cadb,,Person is receiving the basket from the elephant's trunk,M,2,15,20,
1,75a8cadb,,Person is receiving the basket from the elephant's trunk,M,6,19,26,
1,75a8cadb,,Person is giving signal with his right hand to start the race,M,7,2,12,
1,75a8cadb,,Person watching the race from boundary,M,8,1,19,
45,75a8cadb,,Person is standing with his elephant and watching the race,M,12,27,50,
45,75a8cadb,,Person is standing with his elephant and watching the race,M,10,36,50,
47,75a8cadb,,Person is standing with his elephant and watching the race,M,14,45,50,
45,75a8cadb,,Elephant is standing with his master and watching the race,M,11,35,50,
45,75a8cadb,,Elephant is standing with his master and watching the race,M,12,27,50,
47,75a8cadb,,Elephant is standing with his master and watching the race,M,13,44,50,
,71d35513,,Ship is coming towards the camera,M,1,1,33,
1,71d35513,,Ship is coming towards the camera,M,2,1,33,
,71d35513,,Ship is coming towards the camera,M,3,1,33,
,71d35513,,Ship is going towards the right side,M,4,1,33,
,68d9fb6a,,Duck is going towards the left side,M,1,12,36,
,68d9fb6a,,Duck is going towards the left side,M,2,12,36,
1,68d9fb6a,,Duck is going towards the left side,M,3,12,36,
,68d9fb6a,,Duck is going towards the left side,M,4,12,36,
,68d9fb6a,,Duck is going towards the left side,M,5,12,36,
,68d9fb6a,,Duck is going towards the left side,M,6,12,36,
,48cd08af,,Bird is flying towards the right and then perching on top of another bird.,M,2,4,12,
1,48cd08af,,Bird is going outside of the frame in bottom side by flying,M,1,28,30,
,44a4d836,,Turtle is swimming towards left side,M,1,1,21,
8,44a4d836,,Turtle is swimming towards right side,M,2,2,36,
,39f0d139,,Tiger is walking towards the right side,M,1,1,12,
,39f0d139,,Tiger is walking towards the right side,M,4,1,48,
27,39f0d139,,Tiger is walking towards the right side,M,3,23,48,
,39f0d139,,Tiger is lying on the ground,M,5,33,48,
,39f0d139,,Tiger is keeping its front legs on top of another tiger,M,2,25,32,
17,35dff164,,Airplane on the runway is going towards left side,M,1,1,27,
17,35dff164,,Airplane on the runway is stationary and remains in the same position,M,2,1,19,
17,35dff164,,Airplane on the runway is stationary and remains in the same position,M,3,16,27,
17,35dff164,,Airplane on the runway is stationary and remains in the same position,M,4,14,26,
27,35dff164,,Airplane on the runway is stationary and remains in the same position,M,6,22,27,
27,35dff164,,Airplane on the runway is stationary and remains in the same position,M,5,26,27,
,15e09c8c,,Bunny is going from the middle of the bunnies to the left of the bunnies,M,2,15,22,
1,15e09c8c,,Bunny is going from the lef of the bunnies to the middle of the bunnies,M,1,15,22,
,15e09c8c,,Bunny is looking towards the camera,M,3,30,32,
,012b09a0,,Monkey is sniffing another monkey,M,5,29,38,
,012b09a0,,Monkey is pushing another monkey,M,4,49,50,
28,012b09a0,,Monkey is being pushed another monkey,M,3,49,50,
,012b09a0,,Monkey is being dragged by another monkey,M,2,57,59,
,012b09a0,,Monkey is stationary and remains in the same position,M,1,1,70,
6,9ed568e9,,Person on bike is circling around another bike,M,3,5,59,Object goes out of frame several times
58,9ed568e9,,Person on bike is circling around another bike,M,5,39,72,
6,9ed568e9,,Bike is circling around another bike,M,4,5,59,Object goes out of frame several times
58,9ed568e9,,Bike is circling around another bike,M,6,39,72,
6,9ed568e9,,Person is getting off the bike,M,1,10,25,
6,9ed568e9,,Bike is stationary and remains in the same place,M,2,1,72,
,9b318a9c,,Giraffe is lifting another giraffe's back leg with its head,M,2,5,24,
1,9b318a9c,,Giraffe's back leg is being lifted by another giraffe,M,1,5,24,
,7a8cfc91,,Person is moving the bike towards the left side,M,1,1,14,
,7a8cfc91,,Bike is being moved towards the left side by a person,M,2,1,14,
20,7a8cfc91,,Bike is stationary and remains in the same place,M,3,1,42,
,7a8cfc91,,Person on bike is going from right side to left side,M,4,18,28,
,7a8cfc91,,Bike is going from right side to left side,M,5,17,29,
,6c88a53b,,Giraffe is attacking another giraffe,M,2,8,29,
35,6c88a53b,,Giraffe is attacking another giraffe,M,1,43,49,
,6a47103e,,Zebra is going towards right side,M,2,20,35,
1,6a47103e,,Zebra facing to the left side is turing towards the opposite of the camera,M,1,19,29,
,6a47103e,,Zebra facing to the camera is turing towards the left side,M,3,1,14,
,06eb2803,,Goat is keeping its front legs on the back of another goat,M,1,17,30,
,06eb2803,,Goat is looking for something on the ground,M,2,53,60,
1,06eb2803,,Person is going towards the goats,M,3,38,60,
,06eb2803,,Person is stationary and remains in the same position,M,4,1,60,
,06eb2803,,Person is stationary and remains in the same position,M,5,1,60,
,4d6a99ec,,Monkey is getting down to ground from the back of another monkey,M,1,1,7,
34,4d6a99ec,,Monkey is keeping its right hand on the left shoulder of another monkey,M,2,17,45,
,4d6a99ec,,Monkey is inspecting the front side of another monkey's body with its hand.,M,3,42,45,
,3d8b1ee0,,Lizard is fighting with another lizard,M,1,1,15,
1,3d8b1ee0,,Lizard is fighting with another lizard,M,2,1,15,
,3c5e3be8,,Elephant is walking towards the right side,M,2,1,36,
,3c5e3be8,,Elephant is walking towards the right side,M,3,1,36,
