Video,QID,Language Query,Type,IDs,Start,End,Revision
63263f3f,,The rabbit moves starts eating,M,1,14,23,
63263f3f,,The rabbit stands in front of another rabbit,M,10,25,49,
63263f3f,,The rabbit bites the carrot,M,2,3,15,
63263f3f,,The rabbit looks up from the food,M,3,3,23,
63263f3f,,The lizard walks towards the camera and eats,M,4,37,56,
63263f3f,,The rabbit walks away from the food and disappears to the left side of the camera,M,5,11,20,
63263f3f,,The rabbit goes behind another rabbit,M,6,2,8,
63263f3f,,The rabbit jumps to the right and disappears to the right side of the camera,M,7,16,20,
63263f3f,,The turtle walks on the food,M,8,66,72,
63263f3f,,The chicken appears from the right side of the camera,M,9,74,78,
ff64095e,,The rabbit moves its paws down to the ground and hops to the right,M,7,3,13,
ff64095e,,The rabbit hops to the right,M,2,48,53,
ff64095e,,The rabbit hops to the left,M,1,11,15,
ff64095e,,The rabbit turns to the right,M,3,13,17,
ff64095e,,The rabbit moves to the left,M,4,31,36,
ff64095e,,The rabbit starts walking from a still position,M,5,38,43,
ff64095e,,The rabbit turns around and looks behind,M,6,38,40,
fb4a7958,,The giraffe straightens its neck,M,1,2,9,
fb4a7958,,The giraffe bends its neck around another giraffe,M,2,16,22,
fb4a7958,,The giraffe chews food,M,3,71,74,
fb57abac,,The dog turns around and looks down at the object on the ground,M,1,3,9,
fb57abac,,The dog stops walking and looks around,M,2,4,60,
fb57abac,,The dog appears from the right and walks between other dogs,M,3,53,60,
f9bee2e2,,The car disappears from the right side of the frame,M,12,53,56,
f9bee2e2,,The bike disappears from the right side of the frame,M,10,57,59,
f9bee2e2,,The person disappears from the right side of the frame,M,11,57,59,
f9bee2e2,,The person disappears from the right side of the frame,M,9,29,33,
f9bee2e2,,The bike overtakes another bike,M,1,39,53,
f9bee2e2,,The bike speeds away from the other bikes,M,6,4,72,
f9bee2e2,,The person speeds away from the other bikers,M,7,4,72,
f9bee2e2,,The bike disappears from the left side of the frame,M,4,36,53,
f9bee2e2,,The person disappears from the left side of the frame,M,5,39,49,
f9bee2e2,,The bike disappears from the right side of the frame,M,8,17,25,
f9bee2e2,,The person puts up his leg from the road on the bike,M,3,3,9,
f9bee2e2,,The bike gets covered by another bikers in front of the camera,M,2,32,37,
f6cdaca7,,The fish ascends upwards,M,4,41,58,
f6cdaca7,,The fish positions itself vertically as it looks down on the lower surface,M,3,21,50,
f6cdaca7,,The fish moves its tails swiftly and goes to the right,M,1,7,23,
f6cdaca7,,The fish positions itself in a straight from a diagonal position,M,2,1,26,
f6cdaca7,,The fish moves slowly towards the right,M,5,1,56,
f4b271d4,,The zebra disappears from the frame to the right side of the camera,M,4,5,8,
f4b271d4,,The zebra runs to the middle of the pool of water,M,3,15,30,
f4b271d4,,The zebra turns around and walks towards the pool of water,M,1,27,30,
f4b271d4,,The zebra moves its head up and turns in a circle,M,2,3,15,
f326bfb7,,The car disappears to the right side of the frame,M,1,4,6,
f326bfb7,,The car disappears to the right side of the frame,M,2,11,14,
f326bfb7,,The car disappears to the right side of the frame,M,3,16,18,
f326bfb7,,The car disappears to the right side of the frame,M,4,18,20,
f326bfb7,,The car disappears to the right side of the frame,M,5,25,27,
f326bfb7,,The car disappears to the right side of the frame,M,6,25,27,
f326bfb7,,The car disappears to the right side of the frame,M,7,29,32,
f326bfb7,,The car disappears to the right side of the frame,M,8,34,36,
f326bfb7,,The car appears from the left side of the frame,M,9,30,33,
ed82ce50,,The biker disappears from the right side of the frame,M,3,6,8,
ed82ce50,,The bike disappears from the right side of the frame,M,4,6,8,
ed82ce50,,The biker falls on the ground from a levitating position,M,2,1,5,
ed82ce50,,The biker falls on the ground from a levitating position,M,1,1,5,
ed82ce50,,The person looks behind,M,5,2,18,
ed82ce50,,The biker jumps in the air with his bike,M,7,5,10,
ed82ce50,,The bike jumps in the air,M,6,5,10,
ed82ce50,,The biker jumps in the air with his bike,M,9,21,26,
ed82ce50,,The bike jumps in the air,M,8,21,26,
ed82ce50,,The biker jumps in the air with his bike,M,11,24,29,
ed82ce50,,The bike jumps in the air,M,10,24,29,
ef81cd52,,The horse turns from the left to the right,M,2,1,12,
ef81cd52,,The horse walks behind another horse,M,1,10,15,
ef81cd52,,The horse starts walking to the right,M,3,4,16,
ef81cd52,,The person walks the horse to the right,M,4,5,16,
ef81cd52,,The person moves the camera down from his face,M,6,4,7,
ef81cd52,,The person lowers his body a little bit from a standing position,M,7,11,15,
ef81cd52,,The person watches the horses,O,5,1,36,
ef81cd52,,The person hands something to another person,M,8,12,20,
ef81cd52,,The person runs and grabs a horse's body,M,9,30,36,
f10e23dd,,The cat sits on the floor,O,1,1,35,
f10e23dd,,The cat turns around and walks back,M,2,14,26,
f10e23dd,,The cat lays down from a sitting position,M,3,10,16,
ec6fd219,,The horse walks to the right slightly and faces away from the camera,M,1,6,30,
ec6fd219,,The horse turns from the right to the left,M,2,13,28,
ed5ec3c5,,The turtle disappears to the right side of the frame,M,2,14,21,
ed5ec3c5,,The turtle takes a left turn,M,3,12,37,
ed5ec3c5,,The turtle turns around and moves away from the camera,M,4,3,37,
ed5ec3c5,,The turtle gets covered by the shadows of another turtle above,M,5,14,31,
ed5ec3c5,,The turtle appears from the left side of the frame,M,6,24,37,
ed5ec3c5,,The turtle sits on the floor below another turtle,O,1,1,37,
e7ef3b9d,,The boat moves behind other boats,M,1,15,21,
e7ef3b9d,,The person moves behind other boats,M,2,16,20,
e7ef3b9d,,The boat moves in front of other boats,M,3,6,14,
e7ef3b9d,,The person moves in front of other boats,M,4,6,12,
e7ef3b9d,,The boat moves between other boats,M,10,17,23,
e7ef3b9d,,The person moves between other boats,M,11,19,24,
e7ef3b9d,,The person moves between other boats,M,12,19,24,
e7ef3b9d,,The boat turns from the right to the left,M,5,18,30,
e7ef3b9d,,The person turns the boat from the right to the left,M,6,18,30,
e7ef3b9d,,The boat turns from the right to the left,M,7,9,25,
e7ef3b9d,,The person turns the boat from the right to the left,M,8,9,25,
e7ef3b9d,,The person turns the boat from the right to the left,M,9,9,25,
ebd1dbad,,The turtle turns around and faces towards the direction of the camera,M,1,30,56,
ebd1dbad,,The turtle moves away from the camera,M,2,43,72,
e78253f1,,The panda lays down on the ground from a seated position,M,1,63,97,
e78253f1,,The person puts a cloth near the face of the panda,M,4,8,16,
e78253f1,,The person grabs the arm of the panda with her hand,M,2,36,55,
