Video,Query ID,Language Query,Type,Track ID,Start Frame,End Frame,Revision
MOT17-02,1,A bicycle came to stop for a while and then starts moving again,M,50,158,377,
MOT17-02,1,A bicycle came to stop for a while and then starts moving again,M,52,44,385,
MOT17-02,2,A bicycle stars moving after standing for a while,M,53,1,350,
MOT17-02,3,A child riding on bicycle came to stop for a while and then starts moving again,M,11,44,385,
MOT17-02,3,A child riding on bicycle came to stop for a while and then starts moving again,M,13,158,377,
MOT17-02,4,A child riding on bicycle is coming towards his friend  ,M,11,1,50,
MOT17-02,4,A child riding on bicycle is coming towards his friend  ,M,13,1,157,
MOT17-02,5,A child riding on bicycle is waiting for other friends come to him,M,12,1,158,
MOT17-02,6,A child riding on bicycle stars moving after standing for a while,M,12,1,351,
MOT17-02,7,A man leaning against a tree starts walking,M,18,120,600,
MOT17-02,8,A man walking with another three people looks left side,M,32,324,429,
MOT17-02,9,A man walking with another three people looks right side,M,32,442,517,
MOT17-02,10,A man wearing orange Long Sleeve T-Shirt and carrying crossbody bag ,O,2,1,60,
MOT17-02,11,A man wearing orange Long Sleeve T-Shirt is talking with another person ,O,2,1,60,
MOT17-02,12,A man wearing T-shirt is adjusting his pant ,M,35,385,485,
MOT17-02,13,A man wearing white T-shirt touches his nose with right hand,M,38,251,273,
MOT17-02,14,A man with a backpack stops walking for a few seconds and turns back  ,M,32,310,482,
MOT17-02,15,A person turns right and goes through two building,M,39,279,376,
MOT17-02,16,A person is walking after standing under a tree for few seconds,M,17,397,600,
MOT17-02,16,A person is walking after standing under a tree for few seconds,M,18,120,600,
MOT17-02,17,A person leans against a tree,M,18,15,114,
MOT17-02,18,A person peaks at the exhibition products of the shopping mall for second times,M,40,510,600,
MOT17-02,19,A person who is standing under a tree ,M,17,1,396,
MOT17-02,19,A person who is standing under a tree ,M,18,1,114,
MOT17-02,20,Person is standing beneath a tree.,M,17,1,396,
MOT17-02,20,Person is standing beneath a tree.,M,18,1,114,
MOT17-02,21,A person who peaks at the exhibition products of a shopping mall ,M,40,365,390,
MOT17-02,22,A woman carrying a large green bag in left hand is pulling a luggage with right hand ,O,16,425,505,
MOT17-02,23,A woman is looking at products of the shopping mall and then goes away,M,14,1,105,
MOT17-02,24,A woman talks facing left and looks forward as she walks,M,3,1,90,
MOT17-02,25,A woman walking with another three people looks right side,M,33,391,600,
MOT17-02,25,A woman walking with another three people looks right side,M,34,426,456,
MOT17-02,25,A woman walking with another three people looks right side,M,34,490,536,
MOT17-02,26,A woman wearing orange Long Sleeve T-Shirt is talking with a man,O,8,1,43,
MOT17-02,27,A woman talking with another two women stops walking briefly,M,3,260,420,
MOT17-02,27,A woman talking with another two women stops walking briefly,M,19,260,420,
MOT17-02,27,A woman talking with another two women stops walking briefly,M,23,260,420,
MOT17-02,28,A woman wearing red dress is talking with another two women ,O,3,1,575,
MOT17-02,29,Persons who are standing against the walls,O,5,1,600,
MOT17-02,30,The child who is riding bicycle faster than other children,M,12,360,400,
MOT17-02,31,the children with By-cycles,O,11,1,528,
MOT17-02,31,the children with By-cycles,O,12,1,528,
MOT17-02,31,the children with By-cycles,O,13,1,528,
MOT17-02,32,The man waits for his friend to get out from the bench after leaving the bench,M,9,470,484,
MOT17-02,33,The man who is sitting on a bench under a tree and doing nothing,O,1,1,600,
MOT17-02,34,The old lady is walking with an old man is looking right sides for few seconds ,M,20,1,111,
MOT17-02,35,An old lady starts walking after standing for few seconds,M,3,421,575,
MOT17-02,35,The old lady starts walking after standing for few seconds,M,19,421,551,
MOT17-02,35,The old lady starts walking after standing for few seconds,M,23,421,590,
MOT17-02,36,The person goes through two building,O,21,1,80,
MOT17-02,36,The person goes through two building,O,22,1,39,
MOT17-02,37,The people who are sitting on a bench,O,1,1,600,
MOT17-02,37,The people who are sitting on a bench,O,9,1,364,
MOT17-02,37,The people who are sitting on a bench,O,10,1,483,
MOT17-02,38,The person is talking on his mobile,O,15,1,600,
MOT17-02,39,The person is walking after leaving the bench,M,9,365,600,
MOT17-02,39,The person is walking after leaving the bench,M,10,484,600,
MOT17-02,40,The persons who are standing against the walls,O,6,1,600,
MOT17-04,41,A lady is adjusting her hair while holding another person hand,M,71,119,680,
MOT17-04,42,A lady is going from the left Sidewalk to the right Sidewalk,M,89,269,464,
MOT17-04,43,A lady is keeping her shopping bags on the left side of the Main road,M,74,356,410,
MOT17-04,44,A lady is looking at the Signboard of the shop,M,68,920,976,
MOT17-04,45,A lady is looking for something in her Handbag,M,74,450,550,
MOT17-04,46,A lady is looking up while going from right sidewalk to left sidewalk,M,74,45,73,
MOT17-04,47,A lady is moving forward after standing briefly on the right sidewalk ,M,62,221,464,
MOT17-04,48,A lady is recording with her mobile while standing on the left side of the Main road,M,74,768,1050,
MOT17-04,49,A lady is standing briefly on the right sidewalk before moving forward,M,62,1,220,
MOT17-04,50,A lady is standing in front a shop with another boy before moving to another shop,M,68,106,462,
MOT17-04,51,A lady came in front a shop with another boy after visiting another shop,M,68,738,976,
MOT17-04,52,A lady is talking with a waiter briefly,M,71,1,120,
MOT17-04,53,A man is going right side in the left Sidewalk after leaving the shop,M,122,180,356,
MOT17-04,53,A man is going right side in the left Sidewalk after leaving the shop,M,123,211,450,
MOT17-04,54,A man is going right side in the right Sidewalk after leaving the shop,M,119,437,718,
MOT17-04,54,A man is going right side in the right Sidewalk after leaving the shop,M,120,437,700,
MOT17-04,55,A man is looking at his mobile while keeping his foot on a Road barrier in the Sidewalk,M,1,578,900,
MOT17-04,56,A man is recording with his mobile while standing on the left side of the Main road,M,75,660,736,
MOT17-04,57,A man is standing briefly in the right roadside while going to the main road,M,103,890,1014,
MOT17-04,57,A man is standing briefly in the right roadside while going to the main road,M,104,890,1014,
MOT17-04,58,A man is waiting for his friend in the right Sidewalk after leaving from the shop ,M,119,376,426,
MOT17-04,59,A Man standing behind a Traffic cone is going to the roadside,M,1,245,330,
